Timestamp,Data,Target,Prediction
Mon Oct 09 15:16:35 2017,19,21,20.768469
Mon Oct 09 15:16:36 2017,19,21,21.010103
Mon Oct 09 15:16:36 2017,19,21,21.167004
Mon Oct 09 15:16:37 2017,20,21,21.221083
Mon Oct 09 15:16:37 2017,19,21,21.284433
Mon Oct 09 15:16:38 2017,20,21,21.283056
Mon Oct 09 15:16:38 2017,19,21,21.26118
Mon Oct 09 15:16:39 2017,19,21,21.24222
Mon Oct 09 15:16:39 2017,19,21,21.195799
Mon Oct 09 15:16:40 2017,19,21,21.185257
Mon Oct 09 15:16:40 2017,19,21,21.145664
Mon Oct 09 15:16:41 2017,19,21,21.138361
Mon Oct 09 15:16:41 2017,19,21,21.118273
Mon Oct 09 15:16:42 2017,20,21,21.06272
Mon Oct 09 15:16:42 2017,19,21,21.1009
Mon Oct 09 15:16:43 2017,19,21,21.096645
Mon Oct 09 15:16:43 2017,18,21,21.085781
Mon Oct 09 15:16:44 2017,18,21,21.091274
Mon Oct 09 15:16:44 2017,19,21,21.0605
Mon Oct 09 15:16:45 2017,18,21,21.102184
Mon Oct 09 15:16:45 2017,19,22,21.083847
Mon Oct 09 15:16:46 2017,18,21,21.507074
Mon Oct 09 15:16:46 2017,19,21,21.410479
Mon Oct 09 15:16:47 2017,18,21,21.312279
Mon Oct 09 15:16:47 2017,18,21,21.225782
Mon Oct 09 15:16:48 2017,19,21,21.217863
Mon Oct 09 15:16:48 2017,19,21,21.156618
Mon Oct 09 15:16:49 2017,18,21,21.11416
Mon Oct 09 15:16:49 2017,19,21,21.081795
Mon Oct 09 15:16:50 2017,18,21,21.057383
Mon Oct 09 15:16:50 2017,17,21,21.067247
Mon Oct 09 15:16:51 2017,17,20,21.061998
Mon Oct 09 15:16:51 2017,17,20,20.643282
Mon Oct 09 15:16:52 2017,18,20,20.317719
Mon Oct 09 15:16:52 2017,18,20,20.070953
Mon Oct 09 15:16:53 2017,18,21,19.954273
Mon Oct 09 15:16:53 2017,18,20,20.240225
Mon Oct 09 15:16:54 2017,18,20,20.125881
Mon Oct 09 15:16:55 2017,18,21,20.036972
Mon Oct 09 15:16:55 2017,18,21,20.427877
Mon Oct 09 15:16:56 2017,18,20,20.73131
Mon Oct 09 15:16:56 2017,18,20,20.516142
Mon Oct 09 15:16:57 2017,18,20,20.315601
Mon Oct 09 15:16:57 2017,18,21,20.194479
Mon Oct 09 15:16:58 2017,18,20,20.519436
Mon Oct 09 15:16:58 2017,18,20,20.357937
Mon Oct 09 15:16:59 2017,18,20,20.24207
Mon Oct 09 15:16:59 2017,18,20,20.155022
Mon Oct 09 15:17:00 2017,18,20,20.063107
Mon Oct 09 15:17:00 2017,18,21,20.0407
Mon Oct 09 15:17:01 2017,18,20,20.462158
Mon Oct 09 15:17:01 2017,18,20,20.348013
Mon Oct 09 15:17:02 2017,18,20,20.238428
Mon Oct 09 15:17:02 2017,18,21,20.171734
Mon Oct 09 15:17:02 2017,18,21,20.538666
Mon Oct 09 15:17:03 2017,17,20,20.809523
Mon Oct 09 15:17:03 2017,17,20,20.564932
Mon Oct 09 15:17:04 2017,17,20,20.346296
Mon Oct 09 15:17:04 2017,17,20,20.231894
Mon Oct 09 15:17:05 2017,17,20,20.11427
Mon Oct 09 15:17:05 2017,17,21,20.024464
Mon Oct 09 15:17:06 2017,17,21,20.419786
Mon Oct 09 15:17:06 2017,17,21,20.682404
Mon Oct 09 15:17:07 2017,17,20,20.930231
Mon Oct 09 15:17:07 2017,17,20,20.68153
Mon Oct 09 15:17:08 2017,17,20,20.435547
Mon Oct 09 15:17:08 2017,17,20,20.276785
Mon Oct 09 15:17:09 2017,17,20,20.127378
Mon Oct 09 15:17:09 2017,17,21,20.060432
Mon Oct 09 15:17:10 2017,17,21,20.413647
Mon Oct 09 15:17:10 2017,17,21,20.713367
Mon Oct 09 15:17:11 2017,17,21,20.931482
Mon Oct 09 15:17:11 2017,17,21,21.131828
Mon Oct 09 15:17:12 2017,17,20,21.22352
Mon Oct 09 15:17:13 2017,17,21,20.85792
Mon Oct 09 15:17:13 2017,17,21,20.93575
Mon Oct 09 15:17:14 2017,17,21,20.970436
Mon Oct 09 15:17:14 2017,17,21,21.055977
Mon Oct 09 15:17:15 2017,17,21,21.08551
Mon Oct 09 15:17:15 2017,17,21,21.143436
Mon Oct 09 15:17:16 2017,18,21,21.106995
Mon Oct 09 15:17:16 2017,18,20,21.072355
Mon Oct 09 15:17:17 2017,18,20,20.706726
Mon Oct 09 15:17:17 2017,18,20,20.355236
Mon Oct 09 15:17:18 2017,18,19,20.094751
Mon Oct 09 15:17:18 2017,18,20,19.522419
Mon Oct 09 15:17:19 2017,18,20,19.54508
Mon Oct 09 15:17:19 2017,19,20,19.602047
Mon Oct 09 15:17:20 2017,19,20,19.693735
Mon Oct 09 15:17:20 2017,19,20,19.751427
Mon Oct 09 15:17:21 2017,19,19,19.83513
Mon Oct 09 15:17:21 2017,19,20,19.521793
Mon Oct 09 15:17:22 2017,19,20,19.702995
Mon Oct 09 15:17:22 2017,19,20,19.862015
Mon Oct 09 15:17:23 2017,19,20,19.932882
Mon Oct 09 15:17:23 2017,20,20,19.984407
Mon Oct 09 15:17:24 2017,20,20,20.057728
Mon Oct 09 15:17:24 2017,20,20,20.141584
Mon Oct 09 15:17:25 2017,20,19,20.159143
Mon Oct 09 15:17:25 2017,20,20,19.711668
Mon Oct 09 15:17:26 2017,20,20,19.86754
Mon Oct 09 15:17:26 2017,20,20,19.96962
Mon Oct 09 15:17:27 2017,20,20,20.008398
Mon Oct 09 15:17:27 2017,20,20,20.03667
Mon Oct 09 15:17:28 2017,20,19,20.044512
Mon Oct 09 15:17:28 2017,20,19,19.666927
Mon Oct 09 15:17:29 2017,20,19,19.355423
Mon Oct 09 15:17:29 2017,20,19,19.14141
Mon Oct 09 15:17:30 2017,20,19,18.987362
Mon Oct 09 15:17:30 2017,20,19,18.86395
Mon Oct 09 15:17:31 2017,20,19,18.8174
Mon Oct 09 15:17:32 2017,20,19,18.864424
Mon Oct 09 15:17:32 2017,20,19,18.860355
Mon Oct 09 15:17:33 2017,20,19,18.888748
Mon Oct 09 15:17:33 2017,20,19,18.933594
Mon Oct 09 15:17:34 2017,20,19,18.969515
Mon Oct 09 15:17:34 2017,20,19,19.006298
Mon Oct 09 15:17:35 2017,21,19,19.013697
Mon Oct 09 15:17:35 2017,20,19,19.087202
Mon Oct 09 15:17:36 2017,21,19,19.082071
Mon Oct 09 15:17:36 2017,21,19,19.1204
Mon Oct 09 15:17:37 2017,21,19,19.141945
Mon Oct 09 15:17:37 2017,21,19,19.111656
Mon Oct 09 15:17:38 2017,21,19,19.092308
Mon Oct 09 15:17:38 2017,21,19,19.157808
Mon Oct 09 15:17:39 2017,21,19,19.139683
Mon Oct 09 15:17:39 2017,21,19,19.142471
Mon Oct 09 15:17:40 2017,21,19,19.109203
Mon Oct 09 15:17:40 2017,21,19,19.079302
Mon Oct 09 15:17:41 2017,21,19,19.06467
Mon Oct 09 15:17:41 2017,21,19,19.031862
Mon Oct 09 15:17:42 2017,21,19,19.02883
Mon Oct 09 15:17:42 2017,21,19,19.07483
Mon Oct 09 15:17:43 2017,21,19,19.043667
Mon Oct 09 15:17:43 2017,21,19,19.030075
Mon Oct 09 15:17:44 2017,21,19,19.013891
Mon Oct 09 15:17:44 2017,21,19,19.007723
Mon Oct 09 15:17:45 2017,21,19,18.990805
Mon Oct 09 15:17:45 2017,21,19,19.030163
Mon Oct 09 15:17:46 2017,21,19,19.058298
Mon Oct 09 15:17:46 2017,22,19,19.067131
Mon Oct 09 15:17:47 2017,21,19,19.08541
Mon Oct 09 15:17:47 2017,21,19,19.079185
Mon Oct 09 15:17:48 2017,21,19,19.076336
Mon Oct 09 15:17:48 2017,21,19,19.078102
Mon Oct 09 15:17:49 2017,21,19,19.105478
Mon Oct 09 15:17:50 2017,21,19,19.131285
Mon Oct 09 15:17:50 2017,21,18,19.142605
Mon Oct 09 15:17:51 2017,21,18,18.639406
Mon Oct 09 15:17:51 2017,21,18,18.36254
Mon Oct 09 15:17:52 2017,21,19,18.114605
Mon Oct 09 15:17:52 2017,20,19,18.403288
Mon Oct 09 15:17:53 2017,20,19,18.59812
Mon Oct 09 15:17:53 2017,20,19,18.776085
Mon Oct 09 15:17:54 2017,20,19,18.9028
Mon Oct 09 15:17:54 2017,21,19,19.058235
Mon Oct 09 15:17:55 2017,20,18,19.117434
Mon Oct 09 15:17:55 2017,20,18,18.728552
Mon Oct 09 15:17:56 2017,21,18,18.36986
Mon Oct 09 15:17:56 2017,21,18,18.128304
Mon Oct 09 15:17:57 2017,20,18,18.012041
Mon Oct 09 15:17:57 2017,20,18,17.938929
Mon Oct 09 15:17:58 2017,20,18,17.884315
